Year,Alberta,Anvil,Aqueduct,Arbor,Argus,Bedrock,Bowline,Buster,Castle,Charioteer,Cornerstone,Cresset,Crossroads,Crosstie,Dominic I,Emery,Fishbowl,Flintlock,Fulcrum,Fusileer,Greenhouse,Grenadier,Grommet,Guardian,Hardtack I,Hardtack II,Ivy,Jangle,Julin,Latchkey,Mandrel,Musketeer,Newsreel,Niblick,Nougat,Phalanx,Plumbbob,Praetorian,Project 56,Project 57,Project 58,Project 58A,Quicksilver,Ranger,Redwing,Roller Coaster,Sandstone,Sculpin,Snapper,Storax,Sunbeam,Teapot,Tinderbox,Toggle,Touchstone,Trinity,Tumbler,Upshot-Knothole,Whetstone,Wigwam,Grand Total
1945,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3
1946,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
1951,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,16
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,10
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,11
1954,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,14,,,,,,,,1,18
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,17,,,,,,,,,,,,,,,,18
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,1,2,,,,,,,,,,,,,,,,,,,,32
1958,,,,,3,,,,,,,,,,,,,,,,,,,,33,37,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,77
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10
1962,,,,,,,,,,,,,,,31,,5,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,22,4,,,,,,,,,,96
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,4,,,,25,,,,,,,,,,,49
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,25,,48
1965,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,39
1966,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
1967,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
1968,,,,,,,34,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
1969,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
1970,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
1971,,,,,,,,,,,,,,,,5,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
1972,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,32
1973,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,27
1974,,,,12,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
1975,,7,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
1976,,13,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
1977,,,,,,,,,,,,6,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
1978,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,20
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,2,,,,,,,,15
1980,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,14
1981,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,16
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,16,,,,,,,,,,,,,,,,,,,,,,,18
1983,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,19
1984,,,,,,,,,,,,,,,,,,,,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
1985,,,,,,,,,,5,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
1986,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,16
1988,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,18
1989,,,4,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
1990,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,10
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,9
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8